id,Name,Site name
"1f27a53d-8a00-3a14-8972-652c7071fa30","3930_LAB",
"8f40ff84-8bca-35cf-99b9-407b84c56db5","3930_Vallejo","Empresarial CDMX"
"85429004-891b-3ddf-b890-9b0740bd2e44","3932-NOCESAVALLEJO","Empresarial CDMX"
"78470838-7351-3e20-aa98-89de60b97a02","3TI001","Empresarial CDMX"
"9be1ac09-02fa-3052-aaae-c8767f09afd8","3TI002","Empresarial CDMX"
"12a48380-435d-3fee-b393-ef2a47e10dcd","3TI003","Empresarial CDMX"
"8e303303-9ac6-323c-a30d-e522542af077","3TI004","Empresarial CDMX"
"51834938-220c-3650-acf5-b263483903d9","3TI005","GDL_Metro"
"94f901a3-b2b3-3f50-b391-0be841bc48da","4KR001","Empresarial CDMX"
"eeae53a9-2307-3820-bdfa-0d2797de4335","601_QRO601","QRO601"
"40f632dd-9c37-355c-bdc6-f229f31fabdf","ABANET","Querétaro"
"cafbea04-d9e2-3b9e-8aed-88b1a9bcf0f0","ABN002","Metro CDMX"
"2cf4586d-9095-3095-9d41-d72f84198180","AccessMDF","Empresarial CDMX"
"638446e6-14d0-3af3-a37a-83a8d8287884","AccessMTY","Metro MTY"
"71ec045d-6a8d-3872-938e-f414b07ec3a4","ACE001","Metro MTY"
"3a38fc06-dfbb-3780-a0d7-5f22a64208a0","ACE002","Metro MTY"
"7c1afc00-7d2b-3704-baf8-e6226fe24e3a","ACO001","Saltillo"
"386e43ad-cb1d-395c-b39c-af61da59b019","ACV001","Toluca"
"2a2b897c-cfac-397a-a7c8-fa66e24054d9","AEN001","Empresarial CDMX"
"ac868c02-b084-3728-aadd-012a2c9ceb3d","AGC001","Empresarial CDMX"
"cddbcac0-2be4-3ca2-8510-3099216e0322","AGI001","Empresarial CDMX"
"8dc00a6d-7bc9-36d5-9777-7ff35bc75a53","AGI601","AGI601"
"f165055f-ab76-3bea-980c-d22bbad447b0","AGN001","GDL_Metro"
"40ab929c-f599-3721-879a-d5d5e7e11b5a","AGS002",
"f79b15bc-a436-3f64-a794-b3d7867c0704","AGS601","AGS601"
"392add4e-5f77-33d0-bfbf-9d8d65c4c331","AIR001","Empresarial CDMX"
"ee30c7ec-4a62-33ce-8854-32ecc3410ebe","AIS001","Empresarial CDMX"
"c3e68dfd-da67-3398-ac6d-615f25595d2b","ALA001","Metro MTY"
"a8f58446-2d1b-3924-88ae-e20f927d15d7","ALA002","Metro MTY"
"0c636f33-99af-38fe-9d20-8486efbe1f3c","ALA003","Metro MTY"
"6e664ec1-6901-3f27-b6b9-677838a6ac5f","ALA004","GDL_Metro"
"7a4e9084-a356-3b0f-8f98-ae8fbe35ea05","ALD001","Empresarial CDMX"
"7b2abafa-a509-39d8-8ac8-38d0c905a719","ALD002","Empresarial CDMX"
"bc7a1e96-7d6e-3f1f-a18d-edb4ff5c2e43","ALESTRA","Metro CDMX"
"a607a768-b37f-3da3-94b9-bb6458b791bd","ALESTRA_MTY","Metro MTY"
"711aad79-e1f7-3ab7-8ab2-1efc527b03a5","ALR003","Aguascalientes"
"de3e0288-8838-374a-a09f-f70332320bf4","ALR004","ALTAN_DRAN_NORTE"
"5f545ca6-a730-3c11-a2f6-9524e4d28f4b","ALR005","ALTAN_DRAN_NORTE"
"4b47e203-f80c-3138-b1b6-0cce39a9f274","ALR006","ALTAN_DRAN_NORTE"
"a49abbaa-1348-307d-9ba1-215b8cfcc6c7","ALR007","ALTAN_DRAN_NORTE"
"1f88d6fb-f9a8-3406-b1e1-7e33c11df01f","ALR008","ALTAN_DRAN_NORTE"
"4a50b482-1416-33c1-9ee0-054d10ce3e3b","ALR009","ALTAN_DRAN_NORTE"
"8a1772a0-c513-37a8-a3c9-be66da8e5650","ALR010","ALTAN_DRAN_NORTE"
"bc8c9814-1d72-37cf-8d90-34fa6ed1f8b8","ALR011","ALTAN_DRAN_NORTE"
"51f7609b-ff3e-3817-932d-4c435efe9efa","ALR013","ALTAN_DRAN_NORTE"
"af30415b-b619-322d-8dbe-d95964842432","ALR014","ALTAN_DRAN_NORTE"
"4a94dae8-053b-3151-901c-a710f3817809","ALR015","ALTAN_DRAN_NORTE"
"90f257e8-fa30-3c14-ae31-cd04eac6c480","ALR016","ALTAN_DRAN_NORTE"
"2abd0da8-ae40-3490-8cd4-9087110b6167","ALR017","ALTAN_DRAN_NORTE"
"0d6f5ce9-4a3f-3cbf-a3a2-b72a84b3e2bb","ALR018","ALTAN_DRAN_NORTE"
"0fb1c5bf-92fc-34b5-a630-ed113de6eb1b","ALR019","ALTAN_DRAN_NORTE"
"b873b5c9-044e-317f-8f5f-5a386d6c703a","ALR020","Altan DRAN GDL"
"c358e740-43ce-3271-a221-bd00901d4fb1","ALR021","Altan DRAN GDL"
"6be69301-c84d-3cc1-a279-924b31d803ca","ALR022","Altan DRAN GDL"
"4ba3630b-1b22-3b9a-9cf0-dc199e902d5f","ALR023","Altan DRAN GDL"
"ced94de7-4985-3a41-b4f0-f134789de49a","ALR024","Altan DRAN GDL"
"a98b87b1-e52b-3a7e-9f3d-22e7280a3a3e","ALR025","ALTAN_DRAN_NORTE"
"ff255206-a99d-3dc4-bb69-1177a2429e4d","ALR027","ALTAN_DRAN_NORTE"
"59cd6f94-d93d-38f0-81a3-56812f6ebb1c","ALR030","Metro CDMX"
"32abbab4-97f2-3d40-a315-bbd4a8363b7e","ALR031","Metro CDMX"
"cb8ba102-031a-3b11-a866-4518afc8c54a","ALR032","Metro CDMX"
"0ed474c3-cad0-36fd-b6db-c2595b7b0b6c","ALR033","Metro CDMX"
"5843d823-5a56-3f25-9c2b-769f4d5dc6ae","ALR034","Metro CDMX"
"ce5cfe45-7555-3e77-88ad-dec366ac4fd3","ALR035","Metro CDMX"
"491cf123-252d-3622-93bc-fdad48d35b0f","ALR036","Toluca"
"2a841cee-e997-3a88-b96e-97253b4c254c","ALR037","Metro CDMX"
"a32ffdf7-525f-33a8-9f38-17926d499fb4","ALR038","Metro CDMX"
"96636441-af62-372c-86c1-a23c20058fc6","ALR039","Toluca"
"b6e7b6b4-a054-3b12-9e05-0464c5c14b50","ALR040","Metro CDMX"
"dbbea2ff-4b83-3d04-b7c5-a06c22602628","ALR041","Metro MTY"
"85a6a5a5-b2fd-3c27-aa78-9542ec3e6eb0","ALR601","PUE601"
"7b00b682-fab8-38ce-9056-0278f721a589","ALR602",
"c0f2ae92-5f25-305d-8814-bc49d154017a","ALR603",
"6f2ac393-27b5-3edd-a862-422bdf4b7bb3","AMA001","Metro MTY"
"b2d09e26-cc6d-32c4-abaf-28dba4825802","AMB001","San Luis Potosí"
"809e9ddf-d06a-3056-9107-01341ffc238b","AMG001","GDL_Metro"
"369fd3c5-a2f2-36e8-a9d6-464560679ff7","AML001","GDL_Metro"
"ac83245c-bfcd-3b1e-91c3-9f9e90b183f8","AMS001","Empresarial CDMX"
"e9acd5a9-fc58-3c9e-8443-d5e07462a8b5","AMW001","Metro MTY"
"cbac7eeb-d508-3ad3-8ffb-2aeb848bcac8","AMZ001","Metro CDMX"
"28d7c115-1e74-3f76-b191-5f250803a0a9","AMZ006","Metro CDMX"
"7c4f5102-61f8-314c-8013-eac2d9efd5a6","AMZ007","GDL_Metro"
"a5e5ea61-8b09-3807-8834-8c081b93b020","AMZ008","Metro MTY"
"dfd260b7-0803-3860-b21b-691e04ce4c7d","AMZ009","Metro MTY"
"8614c25d-2310-3cab-87b7-21972e73461c","APD001","Metro MTY"
"7c2ed497-a1dd-37cf-a46e-20889d089ffc","APD002","Metro MTY"
"5be749c2-3332-3521-9e42-2798e6be9ea7","ARB001","Toluca"
"b92734dc-dce2-3f02-bc6e-dc44d98ccfd6","ARE001","Metro MTY"
"32ed645b-d869-3a2f-a74e-9a88f2a80ae8","ARE002","Metro MTY"
"7277867f-0008-31a8-b887-5a7925fc7886","ARG001","Empresarial CDMX"
"e35fb606-48be-3857-9cc3-96a7eddbe304","ARL604","PUE601"
"366682d5-5afa-38db-a570-bddc236d45ee","ASF001","Metro MTY"
"4ecc4d77-25d6-3444-8c1a-8d1b9375bceb","ASG001","Irapuato"
"6755ebe9-031e-3dc8-b712-d6cf044aa500","ASP001","GDL_Metro"
"f0d9dae3-ac56-3e31-9407-57ffdeb628b0","ASTRA-ZENECA","Empresarial CDMX"
"093d0f09-aa3a-3fa1-9757-656060363d78","ATC-SLP","San Luis Potosí"
